Reference,Qty,Value,ALTIUM_VALUE,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,MANUFACTURER
Y2,1,25MHz,,,,,ECS_TXO-2016,,ECS International
Y1,1,10MHz,,,,,ECS_TXO-3225,,ECS International
"U1010A1,U1010B1,U1010C1,U1010D1",4,TS12A4516,,,,,GEN_SOT23_5_950_2900X1600X1450,,Texas Instruments
"U1009A1,U1009B1,U1009C1,U1009D1",4,BUF802,,,,,TI_VQFN_RGT0016C,,Texas Instruments
"U1008A1,U1008B1,U1008C1,U1008D1",4,LMH6518,,,,,TI_WQFN_RGH0016A,,Texas Instruments
"U20,U21,U23,U?",4,TPS62A02,,,,,TI_SOT563_DRL0006A,,Texas Instruments
U19,1,MX25U6432FZNI02,,,,,MX_WSON8,,Macronix
U18,1,IC FPGA XC7A50T-2CSG325C,,,,,XILINX_XC7A50T-2CSG325C,,Xilinx
U17,1,TPS61023,,,,,TI_SOT563_DRL0006A,,Texas Instruments
"U16,U?",2,TPS7A2033,,,,,GEN_SOT23_5_950_2900X1600X1450,,Texas Instruments
"U14,U15,U22",3,TPS7A9101,,,,,TI_WSON10_DSK0010A,,
U13,1,LM27761,,,,,TI_WSON8_DSG0008A,,Texas Instruments
U7,1,ZL30260LDG1,,,,,MC_QFN56_ZL30260,,Microchip
U6,1,HMCAD1520,,,,,AD_QFN48_LP7,,Analog Devices
"U5,U1011A1,U1011B1,U1011C1,U1011D1",5,OPA140AIDR,,,,,TI_SOIC8_D0008A,,Texas Instruments
U4,1,REF2025,,,,,GEN_SOT23_5_950_2900X1600X1450,,
U3,1,MCP4728,,,,,MC_MSOP10_UN,,Microchip
U2,1,MCP4452-104E,,,,,MC_TSSOP14,,Microchip
U1,1,SN74LVC1G17,,,,,GEN_SC-70-5,,Texas Instruments
"TP14,TP15,TP19,TP20,TP21,TP22",6,5015,,,,,KEY_5015,,Keystone Electronics
"TP2,TP3",2,5019,,,,,KEY_5019,,Keystone Electronics
"SHLD1001A1,SHLD1001B1,SHLD1001C1,SHLD1001D1",4,2118728-2,,,,,TE_2118728-2,,TE Connectivity
"R1049A1,R1049B1,R1049C1,R1049D1",4,5K TRIMPOT,5K,,,,BOU_3mm_POT,,Bourns
"R1038A1,R1038B1,R1038C1,R1038D1,R1039A1,R1039B1,R1039C1,R1039D1",8,909k,909k,,,,GEN_R_0402,,Yageo
"R1036A1,R1036B1,R1036C1,R1036D1",4,35.7k,35.7k,,,,GEN_R_0402,,Yageo
"R1025A1,R1025B1,R1025C1,R1025D1",4,49.9,49.9,,,,GEN_R_0508,,KOA Speer
"R1024A1,R1024B1,R1024C1,R1024D1",4,976k,976k,,,,GEN_R_0603,,KOA Speer
"R1022A1,R1022B1,R1022C1,R1022D1,R1027A1,R1027B1,R1027C1,R1027D1,R1028A1,R1028B1,R1028C1,R1028D1",12,10,10,,,,GEN_R_0603,,KOA Speer
"R1021A1,R1021B1,R1021C1,R1021D1,R1023A1,R1023B1,R1023C1,R1023D1,R1035A1,R1035B1,R1035C1,R1035D1",12,30,30,,,,GEN_R_0603,,KOA Speer
"R129,R?",2,294K,294K,,,,GEN_R_0402,,Yageo
"R127,R1043A1,R1043B1,R1043C1,R1043D1",5,2K,2K,,,,GEN_R_0402,,Yageo
R122,1,200K,200K,,,,GEN_R_0402,,Yageo
R118,1,66.5k,66.5k,,,,GEN_R_0402,,Yageo
"R109,R130,R1041A1,R1041B1,R1041C1,R1041D1,R1042A1,R1042B1,R1042C1,R1042D1,R1047A1,R1047B1,R1047C1,R1047D1,R?",15,90.9k,90.9k,,,,GEN_R_0402,,Yageo
R108,1,680K,680K,,,,GEN_R_0402,,Yageo
"R100,R103,R105,R1026A1,R1026B1,R1026C1,R1026D1",7,20k,20k,,,,GEN_R_0402,,Yageo
"R99,R102,R104,R113,R114",5,4.7K,4.7K,,,,GEN_R_0402,,Panasonic
"R96,R110,R117,R119,R121,R124,R128,R?",8,100k,100k,,,,GEN_R_0402,,Yageo
R93,1,300K,300K,,,,GEN_R_0402,,Panasonic
"R90,R91,R106",3,0.1,0.1,,,,GEN_R_0402,,Panasonic
"R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40",16,0,0,,,,GEN_R_0201,,Stackpole Electronics
"R23,R24,R1037A1,R1037B1,R1037C1,R1037D1",6,49.9,49.9,,,,GEN_R_0402,,Yageo
"R14,R42,R54,R89,R97,R98,R116,R120,R123,R126,R?",11,0.01,0.01,,,,GEN_R_0603,,Susumu
R13,1,10K,10K,,,,GEN_R_2ARRAY_0606,,Vishay Beyschlag
"R8,R9,R10,R11,R12,R15,R16,R17,R45,R46,R47,R94,R101,R111,R1029A1,R1029B1,R1029C1,R1029D1,R1030A1,R1030B1,R1030C1,R1030D1,R1031A1,R1031B1,R1031C1,R1031D1,R1032A1,R1032B1,R1032C1,R1032D1,R1033A1,R1033B1,R1033C1,R1033D1,R1044A1,R1044B1,R1044C1,R1044D1,R1050A1,R1050B1,R1050C1,R1050D1,R1051A1,R1051B1,R1051C1,R1051D1,R1052A1,R1052B1,R1052C1,R1052D1",50,10K,10K,,,,GEN_R_0402,,Panasonic
"R7,R18,R19,R20,R21,R22,R112,R115",8,100,100,,,,GEN_R_0402,,Yageo
"R6,R44,R48,R49,R50,R51,R52,R53,R125,R1045A1,R1045B1,R1045C1,R1045D1,R1046A1,R1046B1,R1046C1,R1046D1",17,1K,1K,,,,GEN_R_0402,,Yageo
"Q1,Q2,Q1002A1,Q1002B1,Q1002C1,Q1002D1,Q1003A1,Q1003B1,Q1003C1,Q1003D1,Q1004A1,Q1004B1,Q1004C1,Q1004D1",14,DMN62D0UW,,,,,GEN_SOT_323,,Diodes
P1,1,PCIeX4-GF-2D-1000-1K-O64,,,,,PCIeX4-GF-2D-1000-1K-O64,,
"L1,L2,L3,L4,L?",5,1uH,1uH,,,,GEN_L_1210,,Bourns
"K1000A1,K1000B1,K1000C1,K1000D1,K1001A1,K1001B1,K1001C1,K1001D1",8,FTR-B3SA003Z,,,,,FUJ_FTR-B3SA,,Fujitsu
J11,1,7792,,,,,KEY_7792,,Keystone Electronics
J10,1,9155002852006,,,,,KYO_009155002852006,,KYOCERA AVX
J8,1,M.2 Key M,,,,,TE_M2_KEYM_2199230,,TE Connectivity
J5,1,2.54mm 6 Pin TH,,,,,GEN_2.54mm_6_Pin_TH_RA,,Wurth Electronics
J4,1,TSW-101-16-G-Q-RA,,,,,GEN_5.08mm_1x2_Pin_TH_RA,,Samtec
"J3A1,J3B1,J3C1,J3D1,J4A1,J4B1,J4C1,J4D1,J6,J7",10,UFL,,,,,TE_2334884-1,,TE Connectivity
J3,1,1.27mm 6 Pin TH,,,,,GEN_1.27mm_2x5_Pin_TH_RA,,CNC Tech
"J1,J2,J1002A1,J1002B1,J1002C1,J1002D1",6,BNC,,,,,MOL_0731000105,,Molex
"FB1,FB2,FB3,FB11,FB12,FB13,FB1000A1,FB1000B1,FB1000C1,FB1000D1,FB1001A1,FB1001B1,FB1001C1,FB1001D1",14,120@100MHZ,,,,,GEN_R_0402,,Murata
"D1000A1,D1000B1,D1000C1,D1000D1,D1001A1,D1001B1,D1001C1,D1001D1",8,1N4148,,,,,GEN_SOD_323,,Diodes
"D2,D3,D4,D5",4,TPD1E1B04,,,,,TI_X1SON_DPY0002A,,Texas Instruments
D1,1,GREEN,,,,,LED_0603_LTST-S270K,,Vishay Lite-On
"C1035A1,C1035B1,C1035C1,C1035D1",4,220pF,220pF,,,,GEN_C_0402,,Murata
"C1034A1,C1034B1,C1034C1,C1034D1",4,100pF,100pF,,,,GEN_C_0402,,Murata
"C1031A1,C1031B1,C1031C1,C1031D1",4,22nF,22nF,,,,GEN_C_0603,,Murata
"C1030A1,C1030B1,C1030C1,C1030D1",4,1.2nF,1.2nF,,,,GEN_C_0603,,Murata
"C1023A1,C1023B1,C1023C1,C1023D1,C1024A1,C1024B1,C1024C1,C1024D1",8,2.4pF,2.4pF,,,,GEN_C_0603,,KEMET
"C1022A1,C1022B1,C1022C1,C1022D1",4,8pF,8pF,,,,GEN_C_0603,,KEMET
"C1021A1,C1021B1,C1021C1,C1021D1,C1025A1,C1025B1,C1025C1,C1025D1",8,12pF,12pF,,,,GEN_C_0402,,KEMET
"C174,C178,C186,C?",4,39pF,39pF,,,,GEN_C_0402,,KEMET
C160,1,100uF,100uF,,,,GEN_C_1210,,Samsung
"C144,C145,C152,C153,C161",5,47uF,47uF,,,,GEN_C_0805,,Samsung
"C142,C143,C146,C147,C158,C159,C162,C163,C168,C173",10,4.7uF,4.7uF,,,,GEN_C_0402,,Murata
"C138,C139,C140,C141,C148,C149,C150,C151,C154,C155,C156,C157,C164,C165,C166,C167",16,470nF,470nF,,,,GEN_C_0201,,Murata
"C127,C128,C176,C177,C180,C188,C?",7,22uF,22uF,,,,GEN_C_0805,,Murata
"C106,C107,C108,C109,C110,C111,C114,C115,C116,C117,C118,C119,C120,C121,C122,C175,C179,C181,C182,C183,C184,C187,C1026A1,C1026B1,C1026C1,C1026D1,C1027A1,C1027B1,C1027C1,C1027D1,C1028A1,C1028B1,C1028C1,C1028D1,C1029A1,C1029B1,C1029C1,C1029D1,C?,C?,C?,C?,C?",43,10uF,10uF,,,,GEN_C_0603,,Murata
"C64,C65,C69,C70,R2,R3,R4,R5,R41,R43,R52A1,R52B1,R52C1,R52D1,R97A1,R97B1,R97C1,R97D1",18,0,0,,,,GEN_R_0402,,Yageo
"C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C169,C170,C171,C172",24,100nF,100nF,,,,GEN_C_0201,,Murata
"C16,C17,C24,C1036A1,C1036B1,C1036C1,C1036D1",7,1nF,1nF,,,,GEN_C_0402,,Murata
"C14,C15,C18,C19,C23,C25,C1037A1,C1037B1,C1037C1,C1037D1",10,10nF,10nF,,,,GEN_C_0402,,Murata
"C12,C13,C20,C21,C22,C26,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C68,C112,C125,C126,C1039A1,C1039B1,C1039C1,C1039D1,C1040A1,C1040B1,C1040C1,C1040D1,C1044A1,C1044B1,C1044C1,C1044D1,C1045A1,C1045B1,C1045C1,C1045D1,C1046A1,C1046B1,C1046C1,C1046D1,C1047A1,C1047B1,C1047C1,C1047D1,C1048A1,C1048B1,C1048C1,C1048D1,C1049A1,C1049B1,C1049C1,C1049D1,C1050A1,C1050B1,C1050C1,C1050D1,C1051A1,C1051B1,C1051C1,C1051D1,C1052A1,C1052B1,C1052C1,C1052D1,C1053A1,C1053B1,C1053C1,C1053D1,C1054A1,C1054B1,C1054C1,C1054D1,C1055A1,C1055B1,C1055C1,C1055D1,C1056A1,C1056B1,C1056C1,C1056D1,C1057A1,C1057B1,C1057C1,C1057D1,C?",91,1uF,1uF,,,,GEN_C_0402,,Murata
"C1,C2,C3,C4,C5,C6,C7,C8,C11,C27,C66,C67,C123,C124,C129,C130,C185,C1032A1,C1032B1,C1032C1,C1032D1,C1033A1,C1033B1,C1033C1,C1033D1,C1038A1,C1038B1,C1038C1,C1038D1,C1041A1,C1041B1,C1041C1,C1041D1,C1042A1,C1042B1,C1042C1,C1042D1,C1043A1,C1043B1,C1043C1,C1043D1",41,100nF,100nF,,,,GEN_C_0402,,Murata
